,Deal,YearMonth,Total_Loan_Count,Total_CURBALANCE,Weighted_Avg_Spread,Percent_Outside_US,Percent_Below_CCCPlus
0,Deal_1,202008,49,32973554.04,3.315276205304225,0.0,4.081632653061225
1,Deal_1,202009,49,32224710.1,3.3860273961975844,0.0,4.081632653061225
2,Deal_1,202010,49,32901844.57,3.354208965802217,0.0,4.081632653061225
3,Deal_2,202008,41,25069661.93,4.048638709245649,25.43238631539057,4.878048780487805
4,Deal_2,202009,41,20826197.080000002,4.284586181876274,10.388180913152102,4.878048780487805
5,Deal_2,202010,41,23079603.92,4.190454795075184,9.332631172814338,4.878048780487805
6,Deal_3,202008,49,11457431.23,3.1785600625856865,14.39546707189793,0.0
7,Deal_3,202009,49,11711561.01,3.3298878654349426,8.959956227047824,0.0
8,Deal_3,202010,49,9976887.88,3.2178911351061505,10.49138962559936,0.0
9,Deal_4,202008,49,16953209.65,3.8014113871646713,10.864503642824946,0.0
10,Deal_4,202009,49,13016366.53,3.802227743697381,14.150508713432796,0.0
11,Deal_4,202010,49,20110295.41,3.7713890449508813,9.135888869570813,0.0
12,Deal_5,202008,46,58939994.93,3.7676483674410797,7.772456318397583,4.3478260869565215
13,Deal_5,202009,46,55914716.39,3.6120583475072516,8.19298684812662,4.3478260869565215
14,Deal_5,202010,46,58106422.0,3.764991108211756,7.866747259020698,4.3478260869565215
